id,author,geometry,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2]
931,Peskov,tube,12.0,1000.0,-0.0928,10.0,10.0,1009.29,4.8
932,Thompson,tube,17.24,3315.69,0.0036,1.9,9.218,152.0,1.9
933,Williams,tube,13.79,2776.0,,9.5,9.5,1836.0,2.3
934,Mortimore,annulus,13.79,1358.0,,5.6,13.3,2134.0,2.1
935,Thompson,tube,10.26,1492.0,,7.8,9.218,591.0,2.3
936,Thompson,tube,13.79,3119.0,-0.0591,1.9,1.9,152.0,4.7
937,Thompson,tube,6.89,2798.0,,12.8,12.8,1930.0,4.3
938,Thompson,tube,13.79,3315.69,,4.7,4.7,318.0,4.1
939,Thompson,tube,6.89,959.0,,23.6,23.6,610.0,4.3
940,Thompson,tube,18.27,2902.0,-0.0601,3.0,3.0,150.0,2.1
941,Thompson,tube,11.03,2034.0,0.0639,9.218,11.5,1143.0,3.9
942,Weatherhead,tube,13.79,1953.0,0.1419,9.127,11.1,457.0,2.8
943,Thompson,tube,15.51,5384.0,,1.9,1.9,152.0,4.3
944,Thompson,tube,6.86,3784.0,-0.4456,10.8,10.8,216.0,5.0
945,Janssen,annulus,6.89,857.0,-0.0512,12.7,34.52,737.0,5.9
946,Thompson,tube,15.51,2455.0,-0.0545,1.9,1.9,152.0,4.2
947,Janssen,annulus,9.68,2292.0,0.0404,12.7,42.3,1778.0,3.9
948,Thompson,tube,17.24,3315.69,-0.0692,1.9,9.218,152.0,4.2
949,Thompson,tube,10.26,3608.0,0.1396,1.9,1.9,696.0,1.7
950,Thompson,tube,6.89,3797.0,,10.3,10.3,794.0,6.5
951,Williams,tube,13.79,1340.0,,9.5,9.5,1836.0,2.3
952,Thompson,tube,13.79,3315.69,-0.0444,1.9,1.9,696.0,3.6
953,Thompson,tube,10.26,7934.0,0.0997,10.3,10.3,762.0,2.9
954,Janssen,annulus,7.0,1519.0,0.0091,12.7,42.3,1778.0,7.2
955,Inasaka,tube,18.27,842.0,,3.0,3.0,150.0,1.3
956,Weatherhead,tube,13.79,1336.0,-0.0276,7.7,7.7,457.0,2.3
957,Thompson,tube,11.0,4069.0,0.0344,11.5,9.218,1524.0,2.1
958,Thompson,tube,7.0,3315.69,0.0129,10.8,10.8,432.0,4.0
959,Thompson,tube,13.79,5588.0,0.031,4.7,4.7,305.0,2.3
960,Thompson,tube,13.79,1344.0,,11.1,9.218,680.588,1.5
961,Thompson,tube,12.07,3133.0,,1.9,9.218,152.0,6.7
962,Thompson,tube,13.79,3315.69,0.0334,7.7,7.7,457.0,2.6
963,Thompson,tube,13.79,903.0,-0.3476,4.7,4.7,318.0,2.2
964,Beus,annulus,12.597,1359.0,0.0409,5.6,15.2,2134.0,2.1
965,Beus,annulus,11.03,2740.0,0.0901,5.6,15.2,2134.0,2.2
966,Thompson,tube,10.38,3315.69,0.1937,9.218,4.6,229.0,3.6
967,Janssen,annulus,7.0,1533.0,0.1969,8.5,22.3,1829.0,2.1
968,Beus,annulus,15.51,3673.0,,5.6,15.2,2134.0,2.0
969,Richenderfer,plate,0.2,2000.0,-0.0595,15.0,120.0,10.0,6.5
970,Thompson,tube,10.34,4896.0,-0.0071,10.3,10.3,762.0,4.0
971,Thompson,tube,12.07,4109.0,-0.0296,1.9,9.218,680.588,7.3
972,Thompson,tube,13.79,3315.69,-0.0412,4.7,4.7,318.0,4.9
973,Williams,tube,15.17,2680.0,,9.5,9.5,1836.0,1.4
974,Thompson,tube,6.9,4048.0,,10.8,10.8,864.0,4.3
975,Thompson,tube,13.79,1777.0,0.1008,9.218,7.8,591.0,2.2
976,Thompson,tube,6.89,5859.0,0.0051,9.218,10.3,794.0,3.7
977,Thompson,tube,10.26,3315.69,-0.0534,1.9,1.9,152.0,7.5
978,Thompson,tube,6.86,1682.0,0.0025,8.0,8.0,610.0,3.6
979,Thompson,tube,12.07,2672.0,,9.218,1.9,696.0,2.3
980,Thompson,tube,6.89,3315.69,0.0491,10.3,10.3,680.588,6.2
981,Thompson,tube,10.34,3947.0,-0.0557,10.3,10.3,762.0,5.5
982,Thompson,tube,13.79,3315.69,,7.8,7.8,591.0,1.9
983,Thompson,tube,13.79,2645.0,-0.0711,7.7,7.7,457.0,3.5
984,Thompson,tube,13.79,2197.0,,9.218,1.9,152.0,3.0
985,Williams,tube,11.03,2680.0,0.023,9.5,9.5,1836.0,2.0
986,Thompson,tube,3.45,3784.0,-0.0087,10.3,10.3,762.0,3.2
987,Thompson,tube,3.45,7893.0,,10.3,10.3,762.0,3.0
988,Thompson,tube,17.24,2984.0,-0.0801,9.218,1.9,152.0,8.0
989,Thompson,tube,10.34,6049.0,-0.0589,10.3,10.3,762.0,6.8
990,Thompson,tube,12.07,4042.0,-0.0943,1.9,1.9,152.0,4.9
991,Thompson,tube,13.79,3315.69,,4.7,4.7,680.588,2.0
992,Weatherhead,tube,13.79,682.0,,11.1,11.1,457.0,3.5
993,Thompson,tube,6.89,4054.0,,9.218,10.5,762.0,6.9
994,Thompson,tube,10.26,705.0,0.0334,7.7,7.7,457.0,2.8
995,Thompson,tube,10.26,4069.0,-0.0166,9.3,9.3,1359.0,4.8
996,Kossolapov,plate,0.1,5561.0,-0.0929,15.0,120.0,10.0,3.2
997,Thompson,tube,10.34,5940.0,-0.0483,9.218,10.3,762.0,5.2
998,Weatherhead,tube,13.79,673.0,,11.1,11.1,457.0,1.6
999,Janssen,annulus,4.13,746.0,,12.7,42.3,1778.0,2.8
1000,Thompson,tube,6.89,3770.0,0.0412,12.8,12.8,1930.0,3.5
1001,Thompson,tube,6.83,4069.0,0.0129,10.8,10.8,864.0,4.5
1002,Weatherhead,tube,13.79,1994.0,0.0854,9.127,9.127,457.0,1.8
1003,Weatherhead,tube,13.79,1668.0,,7.7,7.7,457.0,4.8
1004,Janssen,annulus,6.89,1519.0,0.1396,10.929,22.3,1740.109,1.4
1005,Thompson,tube,6.86,4096.0,0.0184,10.8,10.8,432.0,4.0
1006,Beus,annulus,15.51,3679.0,,5.6,15.2,2134.0,2.4
1007,Weatherhead,tube,13.79,1434.78,,11.1,11.1,457.0,1.3
1008,Thompson,tube,10.26,3315.69,0.0709,10.8,10.8,216.0,4.6
1009,Thompson,tube,13.79,7893.0,-0.0833,4.7,4.7,318.0,5.2
1010,Thompson,tube,6.89,6781.0,,5.6,5.6,432.0,3.7
1011,Williams,tube,13.79,4077.0,0.0596,9.5,9.5,1836.0,1.3
1012,Beus,annulus,11.03,3665.0,,5.6,15.2,2134.0,3.9
1013,Weatherhead,tube,13.79,2740.0,0.0928,7.7,7.7,457.0,1.6
1014,Thompson,tube,13.79,4259.0,,4.7,4.7,318.0,4.0
1015,Williams,tube,13.79,2837.31,0.0537,9.5,9.5,1836.0,2.4
1016,Weatherhead,tube,13.79,3784.0,0.0928,7.7,7.7,457.0,1.3
1017,Weatherhead,tube,13.79,1351.0,,7.7,7.7,457.0,2.2
1018,Thompson,tube,10.34,5615.0,-0.0483,10.3,10.3,680.588,3.6
1019,Williams,tube,13.79,4092.0,,9.5,9.5,1836.0,2.8
1020,Thompson,tube,6.89,3315.69,,37.5,37.5,1953.0,2.9
1021,Thompson,tube,6.89,1885.0,0.0114,23.6,23.6,1972.0,2.0
1022,Thompson,tube,13.79,2102.0,,4.7,4.7,318.0,2.2
1023,Williams,tube,15.17,2684.0,0.1601,9.5,9.5,1836.0,1.0
1024,Thompson,tube,3.83,3201.0,,5.6,5.6,216.0,7.0
1025,Thompson,tube,13.79,1351.0,0.1275,7.7,7.7,457.0,1.5
1026,Thompson,tube,11.0,4069.0,,9.218,11.5,1524.0,2.4
1027,Janssen,annulus,6.89,2173.925,0.0275,12.7,38.1,914.0,2.2
1028,Weatherhead,tube,13.79,1953.0,0.1698,11.1,11.1,457.0,1.7
1029,Beus,annulus,12.597,1349.0,,5.6,15.2,2134.0,2.7
1030,Thompson,tube,6.89,1356.0,,23.6,23.6,1972.0,2.7
1031,Thompson,tube,2.63,2767.0,-0.0601,3.0,3.0,150.0,4.1
1032,Thompson,tube,6.89,3315.69,-0.0469,10.3,10.3,794.0,9.2
1033,Thompson,tube,10.26,2034.0,,9.218,7.8,591.0,3.0
1034,Thompson,tube,6.89,7432.0,-0.0264,10.3,10.3,794.0,5.8
1035,Thompson,tube,10.26,1682.0,0.1263,7.8,7.8,591.0,2.2
1036,Thompson,tube,6.89,6117.0,,10.3,10.3,794.0,4.2
1037,Thompson,tube,13.79,1533.0,0.0372,7.8,7.8,591.0,2.4
1038,Beus,annulus,15.51,3701.0,,5.6,15.2,2134.0,1.7
1039,Thompson,tube,13.79,1214.0,-0.0881,4.7,4.7,318.0,3.7
1040,Thompson,tube,13.79,5262.0,,9.218,5.7,625.0,8.5
1041,Thompson,tube,6.86,3315.69,0.0332,10.8,10.8,680.588,2.9
1042,Thompson,tube,3.9,2034.0,,10.8,9.218,432.0,5.6
1043,Thompson,tube,10.26,2197.0,-0.0297,1.9,1.9,152.0,5.4
1044,Thompson,tube,6.89,3648.0,,10.3,10.3,762.0,4.8
1045,Thompson,tube,15.51,2997.0,-0.0416,1.9,1.9,152.0,5.0
1046,Thompson,tube,17.24,3052.0,,1.9,9.218,696.0,2.9
1047,Thompson,tube,3.45,4055.0,0.0518,10.8,10.8,680.588,4.6
1048,Thompson,tube,7.0,3315.69,0.0713,4.6,4.6,295.0,4.6
1049,Weatherhead,tube,13.79,943.0,0.0142,9.127,7.7,457.0,2.2
1050,Weatherhead,tube,13.79,1383.0,,7.7,7.7,457.0,3.6
1051,Thompson,tube,6.89,6049.0,-0.0989,10.3,10.3,762.0,6.8
1052,Janssen,annulus,7.0,815.0,0.0262,12.7,34.52,1740.109,2.0
1053,Thompson,tube,13.79,4787.0,0.0015,4.7,4.7,680.588,2.1
1054,Thompson,tube,13.79,1410.0,0.0868,7.8,7.8,591.0,8.9
1055,Thompson,tube,17.24,2848.0,-0.0595,9.218,1.9,152.0,3.4
1056,Thompson,tube,3.96,4123.0,,5.6,5.6,432.0,4.7
1057,Peskov,tube,12.0,2642.705,-0.0472,10.0,10.0,660.0,3.2
1058,Peskov,tube,14.235,2642.705,,10.0,10.0,400.0,2.2
1059,Thompson,tube,10.26,678.0,0.0379,10.8,10.8,216.0,4.4
1060,Weatherhead,tube,13.79,1434.78,-0.0071,7.7,7.7,457.0,2.6
1061,Thompson,tube,6.86,5886.0,0.0406,10.8,10.8,864.0,4.2
1062,Weatherhead,tube,13.79,2042.0,-0.0428,9.127,11.1,457.0,2.2
1063,Thompson,tube,3.86,2034.0,0.1294,10.8,10.8,432.0,2.2
1064,Thompson,tube,10.26,1465.0,,7.7,7.7,457.0,4.5
1065,Thompson,tube,6.86,3811.0,,1.9,1.9,152.0,7.2
1066,Weatherhead,tube,13.79,705.0,-0.2364,7.7,7.7,457.0,5.0
1067,Weatherhead,tube,13.79,1434.78,-0.1776,7.7,9.127,457.0,11.3
1068,Thompson,tube,13.79,3315.69,0.0027,7.7,7.7,457.0,2.3
1069,Thompson,tube,6.89,5181.0,-0.0415,3.6,9.218,680.588,5.4
1070,Janssen,annulus,6.89,5642.0,,6.4,15.9,914.0,3.5
1071,Thompson,tube,10.26,3315.69,-0.3313,9.218,4.7,318.0,7.0
1072,Janssen,annulus,6.89,2780.0,-0.0007,12.7,38.1,914.0,3.8
1073,Janssen,annulus,6.89,1519.0,,8.5,22.3,1740.109,2.3
1074,Thompson,tube,10.51,2550.0,0.0069,4.6,4.6,229.0,4.5
1075,Thompson,tube,13.79,4056.0,,7.8,7.8,591.0,1.4
1076,Thompson,tube,12.07,3811.0,,1.9,9.218,680.588,4.8
1077,Thompson,tube,18.27,833.0,-0.0849,3.0,3.0,35.0,2.1
1078,Thompson,tube,10.26,3315.69,-0.0407,10.3,10.3,762.0,4.6
1079,Thompson,tube,13.79,2278.0,-0.0833,1.9,1.9,696.0,2.9
1080,Thompson,tube,13.79,1214.0,0.0198,4.7,4.7,680.588,2.3
1081,Thompson,tube,18.96,3315.69,,1.9,1.9,152.0,6.7
1082,Thompson,tube,3.45,3315.69,-0.0875,10.3,10.3,762.0,6.6
1083,Thompson,tube,13.79,3974.0,-0.3313,4.7,4.7,680.588,5.5
1084,Thompson,tube,17.24,2984.0,-0.1141,1.9,9.218,680.588,3.8
1085,Thompson,tube,15.51,3811.0,-0.0204,1.9,1.9,152.0,4.4
1086,Thompson,tube,13.79,4164.0,-0.0987,4.7,4.7,305.0,3.4
1087,Thompson,tube,8.27,4056.0,0.0523,11.5,9.218,1524.0,1.9
1088,Thompson,tube,10.26,882.0,-0.0865,4.7,4.7,318.0,3.1
1089,Williams,tube,13.14,2837.31,,9.5,9.5,1836.0,2.0
1090,Thompson,tube,13.79,2658.0,0.0948,7.8,7.8,591.0,1.8
1091,Thompson,tube,13.79,1246.0,0.1524,7.8,9.218,591.0,1.4
1092,Thompson,tube,6.93,3315.69,,5.6,5.6,680.588,4.4
1093,Thompson,tube,6.89,4001.0,-0.0092,10.3,10.3,794.0,5.3
1094,Thompson,tube,10.34,3315.69,0.1494,10.3,10.3,762.0,2.6
1095,Thompson,tube,10.34,3960.0,-0.0815,10.3,10.3,762.0,4.3
1096,Thompson,tube,13.79,2645.0,0.0145,7.7,7.7,457.0,2.5
1097,Thompson,tube,10.34,7378.0,,9.218,10.3,762.0,6.8
1098,Thompson,tube,10.26,4055.0,0.0618,10.8,10.8,432.0,3.9
1099,Thompson,tube,13.79,3315.69,-0.1488,3.6,3.6,680.588,3.6
1100,Inasaka,tube,0.39,5628.57,,3.0,3.0,10.0,8.2
1101,Thompson,tube,13.79,3315.69,,5.7,5.7,625.0,7.5
1102,Thompson,tube,6.89,6998.0,,10.3,9.218,762.0,5.0
1103,Thompson,tube,6.89,3315.69,,23.6,23.6,610.0,3.2
1104,Thompson,tube,3.45,7893.0,0.1401,10.3,10.3,762.0,4.3
1105,Thompson,tube,10.34,3315.69,-0.0779,10.3,10.3,762.0,7.1
1106,Weatherhead,tube,13.79,1434.78,0.0384,7.7,7.7,457.0,2.8
1107,Thompson,tube,6.89,6998.0,-0.0569,9.218,9.218,680.588,7.3
1108,Peskov,tube,16.0,3730.0,,10.0,10.0,1009.29,2.3
1109,Thompson,tube,13.79,1316.0,-0.0415,5.7,5.7,680.588,5.3
1110,Thompson,tube,6.89,4069.0,0.0134,10.8,10.8,432.0,11.5
1111,Thompson,tube,18.27,2740.0,-0.0593,10.8,10.8,150.0,3.6
1112,Thompson,tube,0.1,1301.0,,9.218,1.0,38.0,5.1
1113,Thompson,tube,10.26,4910.0,-0.0306,9.218,4.7,680.588,5.9
1114,Thompson,tube,6.89,5357.0,,37.5,37.5,1953.0,4.5
1115,Kossolapov,plate,0.1,2078.0,-0.0373,15.0,120.0,10.0,6.2
1116,Thompson,tube,6.96,3770.0,0.0747,10.8,10.8,864.0,1.9
1117,Thompson,tube,7.03,3315.69,0.1951,5.6,5.6,864.0,4.7
1118,Thompson,tube,12.07,3296.0,-0.0202,1.9,1.9,152.0,9.7
1119,Peskov,tube,10.0,1944.0,-0.1221,10.0,10.0,1009.29,3.2
1120,Richenderfer,plate,0.1,1500.0,-0.0184,15.0,120.0,10.0,5.2
1121,Thompson,tube,13.79,6971.0,-0.1989,4.7,4.7,318.0,7.9
1122,Janssen,annulus,6.89,2278.0,0.0886,12.7,42.3,1778.0,1.6
1123,Janssen,annulus,6.92,5547.0,-0.0037,12.7,38.1,914.0,3.5
1124,Thompson,tube,6.89,3315.69,0.195,23.6,23.6,1972.0,2.8
1125,Thompson,tube,10.34,7893.0,-0.0997,10.3,9.218,762.0,4.5
1126,Thompson,tube,6.86,4123.0,0.0302,5.6,5.6,432.0,5.2
1127,Thompson,tube,13.79,1682.0,,7.8,7.8,680.588,2.0
1128,Thompson,tube,10.34,7880.0,-0.0801,10.3,9.218,762.0,8.6
1129,Beus,annulus,15.51,1355.0,,5.6,15.2,2134.0,1.4
1130,Thompson,tube,10.26,7514.0,0.0243,37.5,37.5,1953.0,2.6
1131,Weatherhead,tube,13.79,1434.78,,11.1,11.1,457.0,2.6
1132,Weatherhead,tube,13.79,666.0,0.1693,7.7,7.7,457.0,1.8
1133,Weatherhead,tube,13.79,1336.0,-0.0195,7.7,7.7,457.0,3.3
1134,Thompson,tube,13.79,4774.0,0.0753,9.218,4.7,318.0,2.5
1135,Thompson,tube,10.26,2034.0,0.1197,11.5,11.5,1524.0,1.6
1136,Williams,tube,13.14,4036.0,,9.5,9.5,1836.0,2.8
1137,Thompson,tube,10.26,3315.69,,9.218,1.9,696.0,6.7
1138,Thompson,tube,12.07,3315.69,-0.0202,9.218,1.9,152.0,3.6
1139,Thompson,tube,13.79,3784.0,,4.7,4.7,318.0,3.9
1140,Thompson,tube,13.79,3315.69,-0.2599,7.7,9.218,680.588,4.4
1141,Beus,annulus,11.03,3677.0,-0.0394,5.6,15.2,2134.0,2.1
1142,Thompson,tube,13.79,888.0,-0.0822,7.8,9.218,591.0,6.5
1143,Thompson,tube,13.79,1339.0,0.1418,4.7,4.7,318.0,2.8
1144,Weatherhead,tube,13.79,2658.0,0.07,7.7,7.7,457.0,1.8
1145,Peskov,tube,12.0,1000.0,-0.3201,10.0,10.0,565.0,2.5
1146,Thompson,tube,13.79,1316.0,-0.1438,9.218,4.7,318.0,4.6
1147,Janssen,annulus,10.51,1356.0,0.0263,4.6,11.3,229.0,3.6
1148,Beus,annulus,13.79,1354.0,-0.0576,5.6,15.2,457.0,3.5
1149,Thompson,tube,10.26,3838.0,,1.9,9.218,696.0,2.0
1150,Thompson,tube,13.79,2007.0,,7.7,9.218,457.0,3.8
1151,Mortimore,annulus,11.61,1344.0,-0.1005,15.0,13.3,2134.0,3.5
1152,Thompson,tube,6.89,5479.0,0.0724,9.218,12.8,680.588,2.9
1153,Janssen,annulus,7.0,1519.0,0.0035,10.929,42.3,1778.0,2.0
1154,Thompson,tube,6.89,7554.0,-0.1428,10.3,10.3,762.0,7.7
1155,Thompson,tube,6.83,3315.69,0.0005,10.8,10.8,432.0,4.4
1156,Thompson,tube,13.79,1339.0,-0.0609,7.8,7.8,591.0,2.5
1157,Thompson,tube,13.79,1302.0,0.0374,9.218,9.218,680.588,2.7
1158,Thompson,tube,6.89,949.0,,37.5,37.5,680.588,3.9
1159,Thompson,tube,6.89,6089.0,-0.0573,10.3,9.218,680.588,6.9
1160,Thompson,tube,13.79,2798.0,0.0674,4.7,4.7,305.0,2.8
1161,Thompson,tube,13.79,3315.69,,9.218,7.7,457.0,2.8
1162,Janssen,annulus,6.89,5479.0,-0.0404,12.7,38.1,1740.109,4.5
1163,Thompson,tube,13.79,3445.0,-0.0105,1.9,1.9,680.588,2.2
1164,Thompson,tube,13.79,1316.0,-0.3263,4.7,4.7,318.0,9.0
1165,Thompson,tube,6.89,1668.0,,9.218,12.4,610.0,4.0
1166,Thompson,tube,7.14,2034.0,,10.8,10.8,432.0,4.5
1167,Thompson,tube,12.07,3315.69,-0.0444,1.9,9.218,152.0,5.0
1168,Thompson,tube,3.76,2848.0,,4.6,4.6,229.0,4.4
1169,Mortimore,annulus,13.79,1971.947,0.0568,5.0,13.3,2134.0,1.3
1170,Thompson,tube,6.89,4069.0,0.0134,10.8,9.218,864.0,3.5
1171,Beus,annulus,15.51,2310.25,0.0409,5.6,15.2,2134.0,1.8
1172,Weatherhead,tube,13.79,734.0,,7.7,9.127,457.0,2.0
1173,Thompson,tube,17.24,3315.69,,9.218,1.9,696.0,2.6
1174,Beus,annulus,11.03,4069.0,,5.6,15.2,2134.0,4.0
1175,Thompson,tube,6.86,3315.69,0.0903,10.8,10.8,432.0,3.9
1176,Thompson,tube,7.34,3784.0,-0.0188,10.8,10.8,216.0,7.9
1177,Thompson,tube,6.86,5361.0,0.0387,5.6,5.6,216.0,2.5
1178,Thompson,tube,10.51,4069.0,0.0418,5.6,5.6,432.0,5.0
1179,Thompson,tube,10.26,3315.69,-0.0331,1.9,1.9,152.0,3.9
1180,Thompson,tube,18.96,3315.69,-0.2631,1.9,1.9,696.0,1.8
1181,Thompson,tube,6.89,1668.0,0.0606,9.218,9.218,610.0,2.7
1182,Thompson,tube,13.79,2780.0,0.0841,4.6,4.6,680.588,3.3
1183,Janssen,annulus,6.89,3052.0,,8.5,24.6,1740.109,4.0
1184,Thompson,tube,10.34,5696.0,-0.1248,10.3,10.3,762.0,4.7
1185,Thompson,tube,13.79,4299.0,0.0733,4.7,4.7,318.0,6.8
1186,Peskov,tube,12.0,1000.0,0.03,10.0,10.0,565.0,2.9
1187,Janssen,annulus,9.69,5520.0,-0.0027,12.7,34.52,914.0,5.2
1188,Thompson,tube,10.34,6049.0,-0.0338,10.3,10.3,680.588,3.7
1189,Thompson,tube,13.79,1709.0,-0.0309,7.8,7.8,680.588,12.7
1190,Thompson,tube,13.79,5479.0,,4.7,4.7,318.0,4.3
1191,Thompson,tube,10.26,5913.0,0.0206,10.3,10.3,762.0,3.6
1192,Thompson,tube,13.79,2034.0,,4.7,4.7,305.0,4.5
1193,Thompson,tube,3.9,4123.0,0.0803,10.8,10.8,680.588,6.0
1194,Peskov,tube,10.0,4750.0,-0.0868,10.0,10.0,1000.0,3.1
1195,Thompson,tube,10.34,5967.0,-0.1208,10.3,10.3,762.0,3.7
1196,Janssen,annulus,6.92,2292.0,-0.0361,12.7,42.3,1740.109,4.9
1197,Thompson,tube,17.24,3648.0,-0.0545,1.9,1.9,696.0,3.5
1198,Thompson,tube,3.72,4069.0,,10.8,10.8,432.0,4.5
1199,Janssen,annulus,9.68,2173.925,-0.0408,6.4,15.9,914.0,3.6
1200,Thompson,tube,13.79,2658.0,0.0382,9.218,9.218,591.0,5.9
1201,Thompson,tube,6.86,2034.0,-0.0442,10.8,10.8,432.0,6.7
1202,Thompson,tube,3.45,4896.0,-0.0434,9.218,9.218,762.0,6.7
1203,Thompson,tube,13.79,734.0,0.0102,4.7,4.7,318.0,2.0
1204,Williams,tube,13.79,1344.0,0.0538,9.5,9.5,1836.0,2.6
1205,Williams,tube,13.79,4059.0,0.0176,9.5,9.5,1836.0,2.7
1206,Weatherhead,tube,13.79,1682.0,,7.7,7.7,457.0,2.1
1207,Janssen,annulus,6.89,1533.0,0.1579,8.5,22.3,2743.0,2.3
1208,Thompson,tube,18.96,2740.0,,1.9,9.218,152.0,6.7
1209,Thompson,tube,10.26,3315.69,,9.218,10.3,794.0,6.9
1210,Thompson,tube,6.89,5696.0,,10.3,10.3,762.0,4.9
1211,Thompson,tube,13.79,1296.0,,7.8,7.8,591.0,2.8
1212,Janssen,annulus,6.89,815.0,-0.0657,10.929,38.1,737.0,3.1
1213,Thompson,tube,9.65,3315.69,-0.0385,12.7,42.3,680.588,14.7
1214,Weatherhead,tube,13.79,689.0,,7.7,9.127,457.0,6.7
1215,Thompson,tube,13.79,3315.69,,4.7,4.7,318.0,2.0
1216,Thompson,tube,3.93,3797.0,0.1356,10.8,10.8,432.0,7.0
1217,Thompson,tube,3.86,4136.0,0.0379,10.8,9.218,432.0,2.6
1218,Thompson,tube,13.79,5588.0,-0.0943,4.7,9.218,318.0,3.8
1219,Thompson,tube,11.0,4069.0,,11.5,11.5,680.588,2.3
1220,Thompson,tube,6.89,3784.0,,9.218,10.3,762.0,4.6
1221,Thompson,tube,13.79,5398.0,0.0001,4.7,9.218,318.0,4.3
1222,Thompson,tube,13.79,1316.0,0.0486,9.218,5.7,625.0,2.5
1223,Thompson,tube,10.26,4069.0,0.0129,10.8,10.8,432.0,3.8
1224,Thompson,tube,10.34,3315.69,,10.3,10.3,762.0,7.9
1225,Thompson,tube,10.34,3315.69,-0.0415,10.3,10.3,762.0,5.0
1226,Thompson,tube,3.96,3315.69,,9.218,10.8,432.0,6.7
1227,Thompson,tube,13.79,4855.0,0.0406,9.218,4.6,295.0,4.4
1228,Thompson,tube,6.89,3315.69,,10.3,10.3,794.0,2.6
1229,Thompson,tube,11.07,2034.0,0.1004,9.3,9.3,1524.0,2.2
1230,Janssen,annulus,6.92,1519.0,0.0288,8.5,24.6,1778.0,2.3
1231,Thompson,tube,12.07,4042.0,,1.9,1.9,152.0,2.5
1232,Thompson,tube,10.34,5371.0,,10.3,9.218,762.0,3.5
1233,Thompson,tube,3.45,3960.0,-0.0591,10.3,9.218,762.0,7.4
1234,Thompson,tube,18.96,1343.0,-0.0466,1.9,1.9,152.0,3.3
1235,Weatherhead,tube,13.79,694.0,-0.0276,9.127,9.127,457.0,3.6
1236,Thompson,tube,11.07,4069.0,0.0783,9.218,11.5,1143.0,2.0
1237,Janssen,annulus,6.89,2767.0,,10.929,34.52,914.0,3.8
1238,Weatherhead,tube,13.79,1356.0,0.1847,11.1,11.1,457.0,1.6
1239,Williams,tube,11.03,4039.0,,9.5,9.5,1836.0,2.2
1240,Thompson,tube,17.24,2197.0,0.0001,1.9,9.218,152.0,1.9
1241,Thompson,tube,13.79,2760.0,-0.082,4.7,4.7,680.588,4.4
1242,Thompson,tube,13.79,7107.0,,9.218,4.7,318.0,4.4
1243,Thompson,tube,13.79,3315.69,,4.7,4.7,680.588,2.2
1244,Thompson,tube,13.79,3635.0,0.1459,4.7,4.7,318.0,3.0
1245,Thompson,tube,10.26,3315.69,,10.8,10.8,152.0,4.0
1246,Peskov,tube,18.0,1655.0,-0.068,10.0,10.0,1650.0,1.8
1247,Thompson,tube,13.79,783.0,-0.3246,9.218,4.7,318.0,3.1
1248,Thompson,tube,18.0,1000.0,,10.0,10.0,1650.0,3.4
1249,Thompson,tube,11.1,4069.0,0.0716,11.5,11.5,1524.0,2.0
1250,Janssen,annulus,8.27,1519.0,0.0522,12.7,42.3,1778.0,2.5
1251,Janssen,annulus,6.92,2292.0,,12.7,34.52,1778.0,2.2
1252,Beus,annulus,13.79,1345.0,0.0847,5.6,15.2,2134.0,1.5
1253,Thompson,tube,6.86,4069.0,0.1383,10.8,10.8,432.0,4.6
1254,Thompson,tube,13.79,1872.0,-0.0833,4.7,4.7,318.0,3.9
1255,Weatherhead,tube,13.79,956.0,-0.3469,9.127,7.7,457.0,9.3
1256,Williams,tube,15.17,1345.0,0.0522,9.5,9.5,1836.0,2.1
1257,Richenderfer,plate,0.36,1500.0,-0.0204,15.0,120.0,10.0,5.0
1258,Inasaka,tube,0.62,6200.0,-0.1438,3.0,3.0,100.0,8.5
1259,Thompson,tube,10.26,7473.0,,10.3,10.3,762.0,4.3
1260,Kossolapov,plate,0.1,792.25,-0.1491,15.0,120.0,10.0,8.2
1261,Richenderfer,plate,1.01,2000.0,,15.0,120.0,10.0,3.4
1262,Thompson,tube,6.83,4062.0,0.0424,10.8,10.8,864.0,4.2
1263,Thompson,tube,3.45,4448.0,0.0032,10.3,10.3,762.0,4.9
1264,Williams,tube,13.79,2685.0,-0.0279,9.5,9.5,1836.0,3.9
1265,Thompson,tube,6.89,6089.0,,10.3,10.3,762.0,6.8
1266,Thompson,tube,6.9,3852.0,-0.0015,10.8,9.218,680.588,5.8
1267,Janssen,annulus,6.9,2173.925,,6.4,15.9,914.0,2.4
1268,Weatherhead,tube,13.79,2061.0,,11.1,9.127,457.0,2.3
1269,Thompson,tube,13.79,2699.0,0.0073,4.7,4.7,680.588,3.6
1270,Thompson,tube,6.89,3811.0,-0.0123,23.6,23.6,1972.0,4.5
1271,Williams,tube,15.17,2837.31,0.0322,9.5,9.5,1836.0,4.0
1272,Thompson,tube,10.26,1668.0,0.0903,10.8,10.8,432.0,3.8
1273,Weatherhead,tube,18.96,2712.0,,7.7,7.7,457.0,2.6
1274,Janssen,annulus,6.89,2173.925,,8.5,22.3,2743.0,1.1
1275,Thompson,tube,12.07,5642.0,-0.0477,1.9,1.9,152.0,6.7
1276,Thompson,tube,13.79,1410.0,,4.7,4.7,318.0,3.8
